age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18,4,135960,11,5,3,0,4,1,0,0,36,39,0
43,4,145208,9,4,4,1,4,0,0,0,46,39,0
55,4,106111,5,2,8,0,4,1,0,0,33,39,1
58,4,287883,1,2,12,3,0,1,0,0,18,39,1
38,4,151706,9,2,12,0,4,1,0,0,44,39,1
68,1,157923,11,2,3,0,4,1,0,0,50,39,0
18,4,114865,8,4,7,3,4,0,0,0,21,39,0
26,4,170156,9,2,5,3,4,1,0,0,40,39,0
31,6,54295,15,4,5,3,4,1,0,0,30,39,0
77,4,59664,1,6,12,4,4,0,0,0,8,39,0
42,4,115698,11,4,12,1,4,0,0,0,43,39,0
32,4,177486,11,4,1,3,4,1,0,0,66,11,0
21,4,33615,5,2,12,0,4,1,7455,0,60,39,1
37,4,193933,10,2,12,5,1,0,0,0,21,3,0
56,4,365803,11,2,12,5,4,0,14741,0,35,39,1
29,0,267434,15,0,0,1,4,0,0,0,34,39,0
39,4,112350,11,2,3,0,4,1,2723,0,44,39,0
25,4,147976,11,0,1,1,4,1,0,0,40,39,0
45,4,114667,11,0,4,4,4,1,0,0,51,11,0
29,0,259748,15,4,0,3,4,1,0,0,21,11,0
36,4,199614,11,0,8,4,4,0,0,0,40,27,0
40,4,177088,9,2,10,0,4,1,0,0,40,29,1
47,4,166901,15,2,8,0,4,1,2710,0,77,39,0
39,7,174774,15,2,10,0,4,1,0,0,40,39,1
18,4,324406,1,4,1,3,2,0,0,0,33,39,0
35,4,245140,4,6,8,1,4,1,0,0,40,35,0
46,2,116921,15,5,3,4,4,0,0,0,44,39,0
47,4,351793,14,5,10,2,4,1,0,0,54,39,0
36,4,90510,11,2,7,2,2,1,0,0,40,39,0
47,4,330532,9,2,11,0,4,1,0,0,51,39,1
31,4,254945,1,4,12,3,4,1,0,0,18,39,0
27,4,292800,11,2,4,0,4,1,0,0,60,39,1
27,4,491974,11,0,3,3,4,1,0,0,21,39,0
28,4,101480,11,0,12,3,4,0,0,0,47,39,0
56,6,116242,11,2,3,0,4,1,2696,0,77,39,0
55,2,160524,11,2,3,0,4,1,0,0,34,39,0
24,4,172799,11,2,8,2,4,1,0,0,49,39,0
42,6,161444,15,4,4,3,4,0,0,0,40,39,0
31,7,192606,9,2,11,0,4,1,2,0,79,39,0
40,2,132258,9,2,4,0,4,1,0,2211,40,39,1
32,4,103519,15,2,4,0,4,1,0,0,20,39,0
27,4,180771,15,4,1,3,2,0,0,0,40,39,0
26,4,351646,5,4,1,2,4,1,0,0,30,39,0
28,4,320017,15,2,8,2,4,0,0,0,36,39,0
45,0,198939,11,0,0,4,4,0,0,0,40,11,0
64,5,207470,11,4,8,3,4,1,0,0,20,39,0
59,4,399263,5,2,0,0,4,1,0,0,73,39,0
50,4,112072,11,0,3,4,4,1,0,0,35,31,0
19,4,73807,11,4,1,3,4,0,0,0,66,39,0
30,4,59851,9,4,12,1,4,0,0,0,40,39,0
56,4,275606,5,2,6,0,0,1,0,0,44,3,0
33,4,105103,11,4,12,3,4,0,0,0,40,39,0
43,4,24280,11,4,11,1,4,1,0,0,40,39,0
47,4,173551,15,4,12,1,4,0,0,0,44,39,0
18,4,115150,11,4,6,3,2,1,0,0,40,39,0
23,4,149915,9,4,10,3,4,1,0,0,30,39,0
49,4,243766,11,4,14,3,4,1,0,0,32,39,0
45,4,198956,15,4,1,3,4,1,0,0,40,39,0
54,4,453788,14,2,10,0,4,1,0,0,78,39,1
41,7,266403,9,2,4,0,4,1,7439,0,40,39,1
23,4,200661,11,4,6,1,4,1,3,0,40,39,0
47,4,82308,5,2,7,4,4,1,0,0,21,39,0
28,0,396171,11,4,0,3,4,1,0,0,15,39,0
52,6,165126,11,2,3,0,4,1,0,0,40,39,1
17,3,275686,1,4,1,3,4,1,0,0,40,39,0
42,6,33233,9,4,1,1,4,1,0,0,31,39,0
35,4,35486,15,4,14,1,4,1,0,0,15,39,0
34,4,125027,15,4,1,3,4,0,0,0,19,39,0
34,4,272572,9,4,4,1,2,0,0,0,31,39,0
40,6,181586,12,2,10,0,4,1,0,0,60,39,0
55,6,178099,11,2,12,0,4,1,0,0,65,39,0
31,4,180321,11,2,7,0,4,1,2721,0,43,39,0
17,4,142806,0,4,8,3,2,0,0,0,20,39,0
41,4,184088,11,2,12,0,4,1,2790,0,43,39,1
42,2,28852,5,5,6,4,4,1,0,0,40,39,1
18,0,336340,11,4,0,3,4,0,0,0,30,39,0
57,4,152023,11,2,7,0,4,1,0,0,40,39,0
27,2,261150,11,4,11,2,4,1,0,1859,40,39,0
27,4,192345,7,0,3,1,4,1,0,0,75,39,0
41,4,208361,7,2,3,0,4,1,0,0,40,39,0
43,4,232595,5,0,6,3,4,1,0,0,18,39,0
34,4,239907,11,2,12,2,1,0,0,0,37,40,0
29,4,143565,12,2,10,0,4,0,0,1877,60,39,1
21,3,195512,11,4,6,3,4,0,0,0,25,39,0
44,4,155390,15,4,8,1,4,1,0,0,30,39,0
23,4,206066,11,4,8,3,4,0,0,0,8,39,0
23,4,191844,15,2,6,0,4,1,0,0,40,39,0
43,2,185647,11,5,1,4,0,0,0,0,35,39,1
40,2,183084,7,0,4,1,4,1,0,0,40,39,0
29,4,149283,11,4,1,3,4,1,0,0,20,14,0
35,0,299241,15,4,0,3,4,1,0,0,36,39,0
38,4,74384,11,0,13,1,4,1,0,1859,40,39,0
35,4,393548,11,2,7,0,4,1,2731,0,60,39,0
30,4,194673,11,4,4,1,4,0,0,0,24,39,0
53,4,212780,1,6,6,1,4,1,0,0,34,39,0
26,4,109307,11,4,6,1,4,1,0,0,30,39,0
42,4,396656,11,5,1,4,4,0,0,0,40,39,0
29,4,263373,11,4,7,2,4,1,0,0,64,39,0
57,4,547912,11,2,4,0,4,1,0,0,35,39,0
59,4,207501,9,4,10,1,4,0,0,0,40,39,1
48,4,153211,7,2,11,0,0,1,0,0,36,39,1
47,4,181946,11,2,7,0,4,1,0,0,40,40,0
68,4,348139,5,5,8,4,4,0,0,0,37,39,0
28,4,60987,15,4,9,3,4,0,0,0,20,39,0
38,4,373823,15,4,1,3,4,1,0,0,69,39,0
25,4,219412,15,4,12,1,2,1,0,0,40,39,0
52,0,186588,5,2,0,0,4,1,0,0,21,39,0
38,4,476017,15,2,3,0,4,1,0,0,53,39,0
33,4,163206,15,4,11,1,4,1,0,0,40,39,1
38,4,114837,12,0,10,1,4,1,0,0,60,10,0
32,4,94568,11,5,7,2,2,0,0,0,40,39,0
35,4,35311,9,4,8,1,4,0,0,0,67,39,0
43,7,174874,7,2,8,0,1,1,0,0,40,39,0
21,4,121422,1,4,3,1,4,0,0,0,40,39,0
49,4,295982,11,0,13,1,4,1,0,0,40,39,0
53,6,135600,8,0,5,1,2,0,0,0,40,39,0
52,5,348448,12,2,4,0,4,1,0,0,50,39,1
32,5,373840,9,2,4,0,4,0,0,0,20,39,0
30,4,169495,11,0,8,1,4,1,0,1855,30,39,0
40,4,397749,11,5,1,2,2,0,0,0,40,39,0
32,4,182800,11,2,3,0,4,1,0,0,60,39,0
42,0,68436,11,4,0,3,4,0,0,0,20,39,0
37,4,97636,8,4,12,3,4,1,0,0,30,39,0
53,4,199685,11,2,3,0,4,1,0,0,50,26,0
38,4,192214,15,2,1,0,4,1,0,0,30,39,0
22,4,221702,15,2,3,0,4,1,0,0,40,39,0
42,4,201230,11,0,8,4,4,0,0,0,40,39,0
39,4,170831,7,4,4,1,4,1,0,0,40,39,0
51,4,200813,11,0,3,0,4,1,0,0,40,39,0
49,4,91043,1,4,8,3,2,0,0,0,21,39,0
28,4,125919,11,4,3,3,4,0,0,0,40,39,0
55,2,242745,11,2,11,0,4,1,0,0,40,39,0
42,4,159461,9,2,3,0,4,1,0,0,40,39,1
36,4,96622,1,4,7,3,4,1,0,0,40,29,0
25,4,66857,9,4,12,3,1,0,0,0,25,39,0
36,4,106381,13,4,12,1,4,0,2265,0,44,39,0
46,6,47000,11,0,6,0,4,1,0,0,77,39,0
31,6,175740,11,4,8,3,4,0,0,0,9,39,0
30,4,451762,11,2,5,0,4,1,0,0,76,39,0
40,2,161370,13,2,10,0,4,1,0,0,40,39,1
53,4,102482,11,0,5,3,4,0,0,0,40,39,0
33,0,57385,15,4,3,3,4,1,7507,0,40,20,0
53,6,62477,15,2,5,2,4,1,0,0,40,39,0
22,5,207895,9,2,4,5,4,0,1,1860,22,39,1
49,4,132737,11,2,8,0,4,1,0,0,40,39,0
40,4,207224,8,2,8,5,4,0,0,0,31,39,0
45,4,185020,11,2,1,0,4,0,0,0,40,39,1
46,4,151657,9,4,6,1,4,1,0,0,40,39,0
32,4,223874,11,0,8,1,4,0,0,0,40,39,0
28,4,91995,11,4,1,3,4,0,3,0,40,39,0
27,2,332756,15,2,4,0,4,1,0,1872,40,39,0
44,4,80296,15,4,12,1,4,1,39682,0,62,39,1
42,4,378696,5,2,5,0,4,1,0,0,44,26,0
62,4,186304,11,2,8,0,4,1,0,0,49,39,0
62,6,143760,13,6,8,1,4,1,0,0,40,39,0
26,4,100391,1,4,6,1,4,1,0,0,44,39,0
37,4,187181,11,2,3,0,4,1,0,0,35,39,0
31,4,218486,7,0,11,1,4,1,0,0,40,39,0
